Gaurav Kankariya,Utopia by Gaurav Kankariya, Pune,Principal Designer,,
Hitesh Sharma,Solidbench,  Manesar, Gurgaon ,Partner,
Kamalika Bose,Heritage Synergies India, Mumbai,Founder and Principal,,
Kiraan Aggarwal,Studio Querencia, Mumbai,Principal Architect/Proprietor,,
Kunaal Kyhaan Seolekar,Studiohaus, Pune,Founder, ,
Manuraj CR,i2a Architects Studio, Thrissur,Principal Architect,,
Mayur Gujare,SAGA Design Architects, Mumbai,Principal Architect,,
Mayur Naginchandra Mehta,Design Addict, Surat,Proprietor,,
Megha Bhatia,Fibonacci Designs, Mumbai,Principal Architect, ,
Megha Patel-Vadodaria,PVDRS, Ahmedabad,Partner, ,
Mitali Aharam,Crafted Spaces, Hyderabad,Partner and Co-Founder,,
Naini Mehta Shah & Jay Vidyut Shah ,Ravid & Co., Mumbai,Partners and Principal Architect, ,
Nihad Ovungal,Attiks Architecture, Calicut,Co-Founder & Partner,,
Niyoshi Sanghvi,Akari Studio, Mumbai,Founder AND Ceative Director,,
Radeesh R Shetty,The Purple Turtles, Bengaluru ,Founder and Director,  ,
Raghav Patel & Ramesh Lohar,R+R Architects, Ahmedabad,Principal Architect and Principal Interior Designer,,
Rajesh Shivaram,TechnoArchitecture, Bengaluru,Principal,,
Rashi Bothra & Ruchi Gehani,Azure Interiors, Raipur,Founders,,
Ritu Chanekar,Ritu and Associates, Nagpur ,Architect,,
Rohit Palakkal,Nestcraft Architecture Mould, Calicut,Principal,,
Rohit Suraj,Urban Zen, Hyderabad ,Founding Principal,,
Samarth Das,PK Das & Associates, Mumbai,Lead Architect/Urban Designer,,
Sanjana Mathur ,Studio Bipolar, Delhi,Founder,,
Sanjyt Syngh,Sanjyt Syngh, Delhi,Design Director,,
Shruti & Gopal Tanwani,Portico Design Concepts, Aurangabad,Principal Architects,,
Takbir Fatima,DesignAware, Hyderabad ,Director,,
Tara Pandala & Ajay Abey,CSBNE, Kochi,Directors,,
Niyoshi Sanghvi,Akari Studio, Mumbai,founder AND creative director,,
Kamalika Bose,Heritage Synergies India,Founder and Principal,,,
Mayur Naginchandra Mehta,Design Addict, Surat,proprietor,,
Jesal Pathak & Nischal Abhaykumar,M9 Design Studio, Bengaluru,creative lead; founder,,
Arun Shekar & Mohammed Afnan,Humming Tree, Calicut,Principal Architects,,
Abha Narain Lambah,Abha Narain Lambah Associates,,,,
Akshat Bhatt,Architecture Discipline,,,,
Alok Shetty,Bhumiputra Architecture,,,,
Ambrish Arora, Ankur Choksi & Sidhartha Talwar,Studio Lotus,,,
Annkur Khosla,Annkur Khosla Design Studio,,,,
Anupama Kundoo,Anupama Kundoo Architects,,,,
Aparna Dhareshwar & Vami Koticha,Sameep Padora & Associates,,,,
Ashiesh Shah ,Ashiesh Shah Architecture + Design,,,,
Ayaz & Zameer Basrai,The Busride,,,,
Babu Cherian,BCA Architecture,,,,
Benny Kuriakose,Benny Kuriakose,,,,
